Wort, English, Gender, Box, Passes, Fails
Perfekt,Perfect,_,0,0,0
Türkisch,Turkish,_,0,0,0
Die,The,_,0,0,0
Eine,A,_,0,0,0
Dollar,Dollar,M,0,0,0
Uhr,Hour,_,0,0,0
Entschuldigung,Excuse me,_,0,0,0
Aber,But,_,0,0,0
Fahrkarte,Ticket,_,0,0,0
Schwimmbad,Swimming pool,_,0,0,0
Taxistand,Taxi stand,_,0,0,0
Was,What,_,0,0,0
Sonnencreme,Sunscreen,_,0,0,0
Basketball,Basketball,_,0,0,0
Kirche,Church,_,0,0,0
Russisch,Russian,_,0,0,0
Super,Great,_,0,0,0
Da drüben,Over there,_,0,0,0
Geöffnet,Open,_,0,0,0
Ein,A,_,0,0,0
Ich,I,_,0,0,0
Gut,Good,_,0,0,0
Kalt,Cold,_,0,0,0
Warm,Warm,_,0,0,0
Zoo,Zoo,_,0,0,0
T-shirt,T-shirt,_,0,0,0
Schwedisch,Swedish,_,0,0,0
Euro,Euro,M,0,0,0
In der nähe,Nearby,_,0,0,0
München,Munich,_,0,0,0
Guten tag,Good morning,_,0,0,0
Alt,Old,_,0,0,0
Bitte,Please,_,0,0,0
Hier,Here,_,0,0,0
Jobinterview,Job interview,_,0,0,0
Kein,No,_,0,0,0
Auf wiedersehen,Goodbye,_,0,0,0
Schnell,Fast,_,0,0,0
Für,For,_,0,0,0
Toll,Great,_,0,0,0
Circa,Approximately,_,0,0,0
Groß,Big,_,0,0,0
Der,The,_,0,0,0
Italienisch,Italian,_,0,0,0
Sehr,Very,_,0,0,0
Deutsch,German,_,0,0,0
Ich kann nicht,I can't,_,0,0,0
Süß,Sweet,_,0,0,0
Surfst,Surf,_,0,0,0
Heiß,Hot,_,0,0,0
Prost,Cheers,_,0,0,0
Guten abend,Good evening,_,0,0,0
Rechnung,Check,F,0,0,0
Heute morgen,This morning,_,0,0,0
Englisch,English,_,0,0,0
Nervös,Nervous,_,0,0,0
Modern,Modern,_,0,0,0
Gleis,Track,_,0,0,0
Er,He,_,0,0,0
Wirklich,Really,_,0,0,0
Guten morgen,Good morning,_,0,0,0
Kein problem,No problem,_,0,0,0
Station,Station,_,0,0,0
Toiletten,Toilet,_,0,0,0
Schneit,Snowing,_,0,0,0
Rechts,To the right,_,0,0,0
Glas,Glass,N,0,0,0
Danke,Thank you,_,0,0,0
Hallo,Hello,_,0,0,0
Jung,Young,_,0,0,0
Surft,,_,0,0,0
Es tut mir leid,I'm sorry,_,0,0,0
Kreditkarte,Credit card,F,0,0,0
Interessant,Interesting,_,0,0,0
Mit,With,_,0,0,0
Nein,No,_,0,0,0
Lecker,Delicious,_,0,0,0
Cool,Cool,_,0,0,0
Ok,Ok,_,0,0,0
Keinen,,_,0,0,0
Morgen,Morning,_,0,0,0
Klein,Small,_,0,0,0
Nicht,Not,_,0,0,0
Fantastisch,Fantastic,_,0,0,0
Laut,Loud,_,0,0,0
Vielen dank,Thank you very much,_,0,0,0
Du,You,_,0,0,0
Wunderbar,Wonderful,_,0,0,0
Teuer,Expensive,_,0,0,0
Elegant,Elegant,_,0,0,0
Polnisch,Polish,_,0,0,0
Volleyball,Volleyball,_,0,0,0
Stressig,Strussful,_,0,0,0
Schön,Beautiful,_,0,0,0
Neu,New,_,0,0,0
Geld,Money,_,0,0,0
Jetzt,Now,_,0,0,0
Heute,Today,_,0,0,0
Geldautomat,Atm,_,0,0,0
Immer,Always,_,0,0,0
Links,To the left,_,0,0,0
Wandern,Hiking,_,0,0,0
Ja,Yes,_,0,0,0
Spät,Late,_,0,0,0
Dein,Your,_,0,0,0
Dann,Then,_,0,0,0
Wanderst,Hiking,_,0,0,0
Jeden,Every,_,0,0,0
Surfe,Surf,_,0,0,0
Joggst,Jog,_,0,0,0
Zu,To,_,0,0,0
Schwimmt,Swim,_,0,0,0
Singst,Sing,_,0,0,0
Kocht,Cook,_,0,0,0
So,So,_,0,0,0
Minuten,Minutes,_,0,0,0
Liebe,Love,_,0,0,0
Oft,Often,_,0,0,0
Joggen,Jogging,_,0,0,0
Natürlich,Of course,_,0,0,0
Singe,Sing,_,0,0,0
Haben,Have,_,0,0,0
Bahnhof,Station,_,0,0,0
Spanisch,Spanish,M,0,0,0
Singt,Sing,_,0,0,0
Hunger,Hungry,_,0,0,0
Tschüss,Bye,_,0,0,0
Regenschirm,Umbrella,M,0,0,0
Adresse,Address,_,0,0,0
Koche,Cook,_,0,0,0
Meinen,Mine,_,0,0,0
Jogge,Jog,_,0,0,0
Windig,Windy,_,0,0,0
Stadtzentrum,City center,_,0,0,0
Ist,Is,_,0,0,0
Größe,Size,_,0,0,0
Keinen hunger,Not hungry,_,0,0,0
Muttersprache,Mother tongue,_,0,0,0
Lernt,Learn,_,0,0,0
Male,Paint,_,0,0,0
Ein bisschen,A little,_,0,0,0
Mein,My,_,0,0,0
Zu fuß,To walk,_,0,0,0
Schwimmen,Swim,_,0,0,0
Französisch,French,F,0,0,0
Möchte,Would like,_,0,0,0
Hell,Bright,_,0,0,0
Joggt,Jog,_,0,0,0
