German,English,Gender,Box,Passes,Fails
Ja,Yes,None,1,2,0
Ok,Ok,None,1,2,0
Hallo,Hello,None,1,2,0
Guten Morgen,Good Morning,None,1,2,0
Guten Nachmittag,Good Afternoon,None,1,2,0
Bitte,Please,None,1,2,0
Entschuldigung,Excuse Me|Sorry,None,1,2,0
Auf Wiedersehen,Goodbye,None,1,5,1
Kein Problem,No Problem,None,1,2,0
Prost,Cheers,None,1,2,0
Danke,Thank You,None,1,2,0
Guten Nacht,Good Night,None,1,5,1
Nein,No,None,4,8,0
Guten Abend,Good Evening,None,2,8,2
Guten Tag,Good Day,None,2,4,0
Vielen Dank,Thank You Very Much,None,1,5,1
Es Tut Mir Leid,I Am Sorry|Sorry|Im Sorry,,0,0,0
Tschüss,Bye|Goodbye,None,1,2,0
Bis Bald,See You Soon,,0,0,0
Schade,Too Bad|Pity,,0,0,0
Bis Später,See You Later,,0,0,0
Genau,Exactly,,0,0,0
Guten Appetit,Bon Appetit,,0,0,0
Alles Gute,All Good|All The Best,,0,0,0
Heute Nachmittag,This Afternoon,,0,0,0
Heute Morgen,This Morning,,0,0,0
Heute Abend,Tonight|This Evening,,0,0,0
Das Geht,That Works,,0,0,0
Gern Geschehen,You're Welcome|You Are Welcome,,0,0,0
