Phrasen,English,Box,Passes,Fails
Bier oder Wasser,beer or water,0,0,0
wasser bitte,water please,0,0,0
Hier ist das Salz,Here is the salt,0,0,0
Pizza mit Käse,Pizza with cheese,0,0,0
Ja,das Schnitzel ist sehr lecker,0,0,0
Meine Frau ist Kellnerin,My wife is a waitress,0,0,0
Mein Beruf ist stressig. Ich bin Arzt,My profession is stressful. I am a doctor,0,0,0
Ist sie Schauspielerin,Is she an actress,0,0,0
Ich bin Lehrer. Die Arbeit ist wunderbar und interessant aber stressig.,I am a teacher. The job is wonderful and interesting but stressful,0,0,0
Ist das Kino in der Nähe,Is the theatre nearby,0,0,0
ja links,yes on the left,0,0,0
Das Museum ist sehr aufregend,The museum is very exciting,0,0,0
Die Universität in Berlin,The university in Berlin,0,0,0
der Markt und der Bahnhof,The market and the station,0,0,0
Das Cafe links ist wunderbar! Mein Kaffee ist heiß und lecker.,The coffee shop on the left is wonderful! My coffee is hot and delicious.,0,0,0
Die Bäckerei ist billig,The bakery is cheap.,0,0,0
Die Kirche ist in der Nähe.,The church is nearby,0,0,0
Ja der Taxistand ist da drüben.,Yes the taxi stand is over there.,0,0,0
Ist die Universität alt? Ist das Museum neu?,Is the university old? Is the museum new?,0,0,0
Ich lebe in Deutschland,I live in Germany,0,0,0
Ich spreche Deutsch und Sie sprechen Englisch Herr Jones,I speak german and you speak englisch Mr Jones,0,0,0
Es ist sehr Heiß heute. Hier ist deine Wasserflasche,It is very hot today. Here is your water bottle,0,0,0
Es ist jetzt sonnig,It is sunny now,0,0,0
Das Wetter ist schlecht. Es ist bewölkt,The weather is bad. It is cloudy,0,0,0
Der Fisch liebt den fluss,The fish loves the river,0,0,0
Ich mache eine Party und meine Freunde kommen,I am having a party and my friends are coming,0,0,0
